Sign,Energy,Multiplier,Direction,Magnitude,IntendedArchetype,AstrologicalBasis,BrandFit,ElementStackConflict,Verdict,ProposedValue,Rationale
Aries,classic,0.95,Dampen,Strong,"Pioneer warrior — impulsive, competitive, direct action. Legacy drama 1.7→1.4, playful 1.4→1.3.","Fire Cardinal, Mars rulership",Direction questionable for product,No,Adjust magnitude,0.95,Cardinal fire is bold not restrained; mild classic dampen OK but 0.9 is strong
Aries,playful,1.30,Boost,Mild,"Pioneer warrior — impulsive, competitive, direct action. Legacy drama 1.7→1.4, playful 1.4→1.3.","Fire Cardinal, Mars rulership",Matches Cosmic Fit voice,Yes: +0.05 Fire playful on Sun,Keep,—,Mars-forward spontaneity maps to experimental wit
Aries,romantic,1.00,Neutral,Neutral,"Pioneer warrior — impulsive, competitive, direct action. Legacy drama 1.7→1.4, playful 1.4→1.3.","Fire Cardinal, Mars rulership",Matches Cosmic Fit voice,No,Keep,—,Neutral appropriate — Aries leads with action not softness
Aries,utility,1.00,Neutral,Neutral,"Pioneer warrior — impulsive, competitive, direct action. Legacy drama 1.7→1.4, playful 1.4→1.3.","Fire Cardinal, Mars rulership",Matches Cosmic Fit voice,No,Keep,—,Neutral — not a utility-first sign
Aries,drama,1.35,Boost,Strong,"Pioneer warrior — impulsive, competitive, direct action. Legacy drama 1.7→1.4, playful 1.4→1.3.","Fire Cardinal, Mars rulership",Matches Cosmic Fit voice,Yes: +0.1 Fire drama — double drama risk,Adjust magnitude,1.35,Direction correct; 1.4 ties Leo tier and stacks Fire +0.1
Aries,edge,1.20,Boost,Mild,"Pioneer warrior — impulsive, competitive, direct action. Legacy drama 1.7→1.4, playful 1.4→1.3.","Fire Cardinal, Mars rulership",Matches Cosmic Fit voice,Yes: +0.05 Fire edge via element on planets only,Keep,—,Martial sharpness / rule-breaker fits edge boost
Taurus,classic,1.50,Boost,Strong,"Sensual builder — tactile luxury, stability, material comfort. Legacy classic 1.5 kept; utility raised from implicit to 1.2.","Earth Fixed, Venus rulership",Matches Cosmic Fit voice,Yes: +0.1 Earth classic,Keep,—,Venus earth fixed — timeless material quality is core Taurus fashion read
Taurus,playful,0.90,Dampen,Strong,"Sensual builder — tactile luxury, stability, material comfort. Legacy classic 1.5 kept; utility raised from implicit to 1.2.","Earth Fixed, Venus rulership",Matches Cosmic Fit voice,No,Keep,—,Fixed earth resists novelty; 0.9 dampen is mild and fair
Taurus,romantic,1.30,Boost,Mild,"Sensual builder — tactile luxury, stability, material comfort. Legacy classic 1.5 kept; utility raised from implicit to 1.2.","Earth Fixed, Venus rulership",Matches Cosmic Fit voice,No,Keep,—,Venus rulership supports sensual romantic boost
Taurus,utility,1.20,Boost,Mild,"Sensual builder — tactile luxury, stability, material comfort. Legacy classic 1.5 kept; utility raised from implicit to 1.2.","Earth Fixed, Venus rulership",Matches Cosmic Fit voice,Yes: +0.05 Earth utility,Keep,—,Practical durability (quality basics) aligns with earth utility
Taurus,drama,0.85,Dampen,Strong,"Sensual builder — tactile luxury, stability, material comfort. Legacy classic 1.5 kept; utility raised from implicit to 1.2.","Earth Fixed, Venus rulership",Matches Cosmic Fit voice,No,Keep,—,Taurus avoids spectacle; 0.85 dampen is strongest allowed min — acceptable
Taurus,edge,1.00,Neutral,Neutral,"Sensual builder — tactile luxury, stability, material comfort. Legacy classic 1.5 kept; utility raised from implicit to 1.2.","Earth Fixed, Venus rulership",Matches Cosmic Fit voice,No,Keep,—,Neutral — Taurus is conventionally styled not avant-garde
Gemini,classic,0.85,Dampen,Strong,"Mercurial connector — wit, novelty, dual curiosity. Legacy playful 1.8→1.5 compression.","Air Mutable, Mercury rulership",Matches Cosmic Fit voice,No,Keep,—,Mutable air prefers novelty over tradition; 0.85 dampen mild
Gemini,playful,1.50,Boost,Strong,"Mercurial connector — wit, novelty, dual curiosity. Legacy playful 1.8→1.5 compression.","Air Mutable, Mercury rulership",Matches Cosmic Fit voice,Yes: +0.1 Air playful,Keep,—,Mercury mutable — flagship playful sign; 1.5 max boost justified
Gemini,romantic,1.00,Neutral,Neutral,"Mercurial connector — wit, novelty, dual curiosity. Legacy playful 1.8→1.5 compression.","Air Mutable, Mercury rulership",Matches Cosmic Fit voice,No,Keep,—,Neutral — Gemini social not deeply sensual in brand read
Gemini,utility,1.00,Neutral,Neutral,"Mercurial connector — wit, novelty, dual curiosity. Legacy playful 1.8→1.5 compression.","Air Mutable, Mercury rulership",Matches Cosmic Fit voice,No,Keep,—,Neutral — legacy had 1.0 utility explicitly
Gemini,drama,1.00,Neutral,Neutral,"Mercurial connector — wit, novelty, dual curiosity. Legacy playful 1.8→1.5 compression.","Air Mutable, Mercury rulership",Matches Cosmic Fit voice,No,Keep,—,Neutral — drama via wit not theatre
Gemini,edge,1.20,Boost,Mild,"Mercurial connector — wit, novelty, dual curiosity. Legacy playful 1.8→1.5 compression.","Air Mutable, Mercury rulership",Matches Cosmic Fit voice,Yes: +0.05 Air edge,Keep,—,Intellectual subversion / trend eclecticism fits edge
Cancer,classic,1.10,Boost,Mild,"Protective nurturer — emotional shell, homebody intimacy. Legacy utility 1.5→1.2; romantic 1.4 kept.","Water Cardinal, Moon rulership",Matches Cosmic Fit voice,No,Keep,—,Moon cardinal — nostalgic/traditional homebody classic lean
Cancer,playful,1.00,Neutral,Neutral,"Protective nurturer — emotional shell, homebody intimacy. Legacy utility 1.5→1.2; romantic 1.4 kept.","Water Cardinal, Moon rulership",Matches Cosmic Fit voice,No,Keep,—,"Neutral — mood-dependent, not primary archetype"
Cancer,romantic,1.40,Boost,Strong,"Protective nurturer — emotional shell, homebody intimacy. Legacy utility 1.5→1.2; romantic 1.4 kept.","Water Cardinal, Moon rulership",Matches Cosmic Fit voice,Yes: +0.1 Water romantic,Keep,—,Water nurturer — intimate soft expression is primary
Cancer,utility,1.05,Boost,Mild,"Protective nurturer — emotional shell, homebody intimacy. Legacy utility 1.5→1.2; romantic 1.4 kept.","Water Cardinal, Moon rulership",Matches Cosmic Fit voice,No,Adjust meaning,1.05,Legacy over-weighted utility (1.5); protective ≠ tactical wardrobe; slight boost OK
Cancer,drama,0.95,Dampen,Mild,"Protective nurturer — emotional shell, homebody intimacy. Legacy utility 1.5→1.2; romantic 1.4 kept.","Water Cardinal, Moon rulership",Matches Cosmic Fit voice,Yes: +0.05 Water drama on planets,Keep,—,Mild dampen reflects private emotional style vs spectacle
Cancer,edge,1.00,Neutral,Neutral,"Protective nurturer — emotional shell, homebody intimacy. Legacy utility 1.5→1.2; romantic 1.4 kept.","Water Cardinal, Moon rulership",Matches Cosmic Fit voice,No,Keep,—,Neutral — Cancer rarely avant-garde in product voice
Leo,classic,0.90,Dampen,Strong,"Regal performer — visibility, generosity, theatrical self-expression. Legacy drama 1.9→1.5; utility 0.8→0.9.","Fire Fixed, Sun rulership",Matches Cosmic Fit voice,No,Keep,—,Sun performer prefers statement over restrained classic; 0.9 dampen OK
Leo,playful,1.30,Boost,Mild,"Regal performer — visibility, generosity, theatrical self-expression. Legacy drama 1.9→1.5; utility 0.8→0.9.","Fire Fixed, Sun rulership",Matches Cosmic Fit voice,Yes: +0.05 Fire playful,Keep,—,Generous warm theatrics — playful boost coherent
Leo,romantic,1.00,Neutral,Neutral,"Regal performer — visibility, generosity, theatrical self-expression. Legacy drama 1.9→1.5; utility 0.8→0.9.","Fire Fixed, Sun rulership",Matches Cosmic Fit voice,No,Keep,—,Neutral — Leo love is grand not soft-intimate primary
Leo,utility,0.95,Dampen,Strong,"Regal performer — visibility, generosity, theatrical self-expression. Legacy drama 1.9→1.5; utility 0.8→0.9.","Fire Fixed, Sun rulership",Matches Cosmic Fit voice,No,Adjust magnitude,0.95,0.9 dampen slightly harsh for daily wearability; Leo still dresses functionally
Leo,drama,1.35,Boost,Strong,"Regal performer — visibility, generosity, theatrical self-expression. Legacy drama 1.9→1.5; utility 0.8→0.9.","Fire Fixed, Sun rulership",Matches Cosmic Fit voice,Yes: +0.1 Fire drama — primary stacking concern,Adjust magnitude,1.35,Meaning correct (legacy 1.9→1.5); 1.5 + Fire stack saturates drama bars (D=7-10 in fixtures)
Leo,edge,1.00,Neutral,Neutral,"Regal performer — visibility, generosity, theatrical self-expression. Legacy drama 1.9→1.5; utility 0.8→0.9.","Fire Fixed, Sun rulership",Matches Cosmic Fit voice,No,Keep,—,Neutral — Leo bold is dramatic not subversive
Virgo,classic,1.50,Boost,Strong,"Refined craftsperson — edit, function, understated polish. Legacy utility 2.0→1.4; classic 1.7→1.5.","Earth Mutable, Mercury rulership",Matches Cosmic Fit voice,Yes: +0.1 Earth classic,Keep,—,Mercury earth — polished restraint is signature
Virgo,playful,0.95,Dampen,Mild,"Refined craftsperson — edit, function, understated polish. Legacy utility 2.0→1.4; classic 1.7→1.5.","Earth Mutable, Mercury rulership",Matches Cosmic Fit voice,No,Keep,—,Near-neutral mild dampen; Virgo humor is dry not bubbly
Virgo,romantic,0.90,Dampen,Strong,"Refined craftsperson — edit, function, understated polish. Legacy utility 2.0→1.4; classic 1.7→1.5.","Earth Mutable, Mercury rulership",Matches Cosmic Fit voice,No,Keep,—,0.9 dampen — Virgo intimacy is understated
Virgo,utility,1.30,Boost,Strong,"Refined craftsperson — edit, function, understated polish. Legacy utility 2.0→1.4; classic 1.7→1.5.","Earth Mutable, Mercury rulership",Matches Cosmic Fit voice,Yes: +0.05 Earth utility,Adjust magnitude,1.30,Direction correct (legacy max 2.0); 1.4 contributes to classic lock-in on earth charts
Virgo,drama,0.85,Dampen,Strong,"Refined craftsperson — edit, function, understated polish. Legacy utility 2.0→1.4; classic 1.7→1.5.","Earth Mutable, Mercury rulership",Matches Cosmic Fit voice,No,Keep,—,0.85 min dampen — anti-theatrical edit aligns
Virgo,edge,1.00,Neutral,Neutral,"Refined craftsperson — edit, function, understated polish. Legacy utility 2.0→1.4; classic 1.7→1.5.","Earth Mutable, Mercury rulership",Matches Cosmic Fit voice,No,Keep,—,Neutral — precision over provocation
Libra,classic,1.30,Boost,Mild,"Harmonizer — balance, social grace, aesthetic diplomacy. Legacy romantic 1.6→1.4.","Air Cardinal, Venus rulership",Matches Cosmic Fit voice,No,Keep,—,Venus air — balanced timeless aesthetic
Libra,playful,1.30,Boost,Mild,"Harmonizer — balance, social grace, aesthetic diplomacy. Legacy romantic 1.6→1.4.","Air Cardinal, Venus rulership",Matches Cosmic Fit voice,Yes: +0.1 Air playful,Adjust magnitude,1.30,Social charm fits playful but Libra fails R12 (romantic/classic dominate map)
Libra,romantic,1.40,Boost,Strong,"Harmonizer — balance, social grace, aesthetic diplomacy. Legacy romantic 1.6→1.4.","Air Cardinal, Venus rulership",Matches Cosmic Fit voice,No,Keep,—,Partnership/ beauty axis — romantic boost core
Libra,utility,1.00,Neutral,Neutral,"Harmonizer — balance, social grace, aesthetic diplomacy. Legacy romantic 1.6→1.4.","Air Cardinal, Venus rulership",Matches Cosmic Fit voice,No,Keep,—,Neutral — Libra optimizes appearance not gear
Libra,drama,0.95,Dampen,Mild,"Harmonizer — balance, social grace, aesthetic diplomacy. Legacy romantic 1.6→1.4.","Air Cardinal, Venus rulership",Matches Cosmic Fit voice,No,Keep,—,Mild dampen — prefers harmony over confrontation
Libra,edge,0.95,Dampen,Strong,"Harmonizer — balance, social grace, aesthetic diplomacy. Legacy romantic 1.6→1.4.","Air Cardinal, Venus rulership",Matches Cosmic Fit voice,No,Adjust magnitude,0.95,0.9 dampen may over-penalize fashion-forward Libran edge; air sign should retain some subversion
Scorpio,classic,1.00,Neutral,Neutral,"Intensity alchemist — depth, power, magnetic transformation. Legacy drama 1.8→1.5; utility cut from 1.6 to 1.1.","Water Fixed, Pluto/Mars rulership",Matches Cosmic Fit voice,No,Keep,—,Neutral — intensity not traditionalism
Scorpio,playful,0.85,Dampen,Strong,"Intensity alchemist — depth, power, magnetic transformation. Legacy drama 1.8→1.5; utility cut from 1.6 to 1.1.","Water Fixed, Pluto/Mars rulership",Matches Cosmic Fit voice,No,Keep,—,0.85 dampen — Scorpio rarely 'light'
Scorpio,romantic,0.95,Dampen,Strong,"Intensity alchemist — depth, power, magnetic transformation. Legacy drama 1.8→1.5; utility cut from 1.6 to 1.1.","Water Fixed, Pluto/Mars rulership",Matches Cosmic Fit voice,No,Adjust magnitude,0.95,Legacy cut romantic heavily (0.6); current 0.9 may under-represent magnetic intimacy
Scorpio,utility,1.00,Boost,Mild,"Intensity alchemist — depth, power, magnetic transformation. Legacy drama 1.8→1.5; utility cut from 1.6 to 1.1.","Water Fixed, Pluto/Mars rulership",Matches Cosmic Fit voice,No,Adjust meaning,1.0,Legacy had utility 1.6 (protective); rebuilt 1.1 still adds tactical read not in water archetype
Scorpio,drama,1.35,Boost,Strong,"Intensity alchemist — depth, power, magnetic transformation. Legacy drama 1.8→1.5; utility cut from 1.6 to 1.1.","Water Fixed, Pluto/Mars rulership",Matches Cosmic Fit voice,Yes: +0.05 Water drama,Adjust magnitude,1.35,Correct direction; prod dominant=drama 14/14 with mult; neutral picks drama only 3/14 (flip 11/14)
Scorpio,edge,1.30,Boost,Mild,"Intensity alchemist — depth, power, magnetic transformation. Legacy drama 1.8→1.5; utility cut from 1.6 to 1.1.","Water Fixed, Pluto/Mars rulership",Matches Cosmic Fit voice,No,Keep,—,Plutonian subversion — edge boost well justified
Sagittarius,classic,0.90,Dampen,Strong,"Adventurous philosopher — optimism, bold exploration. Legacy playful 1.6→1.4.","Fire Mutable, Jupiter rulership",Matches Cosmic Fit voice,No,Keep,—,Jupiter explorer de-prioritizes restraint
Sagittarius,playful,1.40,Boost,Strong,"Adventurous philosopher — optimism, bold exploration. Legacy playful 1.6→1.4.","Fire Mutable, Jupiter rulership",Matches Cosmic Fit voice,Yes: +0.05 Fire playful,Keep,—,Optimistic bold experimentation — core boost
Sagittarius,romantic,1.00,Neutral,Neutral,"Adventurous philosopher — optimism, bold exploration. Legacy playful 1.6→1.4.","Fire Mutable, Jupiter rulership",Matches Cosmic Fit voice,No,Keep,—,Neutral
Sagittarius,utility,1.00,Neutral,Neutral,"Adventurous philosopher — optimism, bold exploration. Legacy playful 1.6→1.4.","Fire Mutable, Jupiter rulership",Matches Cosmic Fit voice,No,Keep,—,Neutral
Sagittarius,drama,1.20,Boost,Mild,"Adventurous philosopher — optimism, bold exploration. Legacy playful 1.6→1.4.","Fire Mutable, Jupiter rulership",Matches Cosmic Fit voice,Yes: +0.1 Fire drama,Keep,—,Fire visibility / confidence supports drama
Sagittarius,edge,1.20,Boost,Mild,"Adventurous philosopher — optimism, bold exploration. Legacy playful 1.6→1.4.","Fire Mutable, Jupiter rulership",Matches Cosmic Fit voice,No,Keep,—,Philosophical rule-breaking fits edge
Capricorn,classic,1.50,Boost,Strong,"Architect — structure, ambition, pragmatic authority. Legacy classic 1.8→1.5; utility 1.7→1.4.","Earth Cardinal, Saturn rulership",Matches Cosmic Fit voice,Yes: +0.1 Earth classic,Keep,—,Saturn cardinal earth — authority tailoring
Capricorn,playful,0.85,Dampen,Strong,"Architect — structure, ambition, pragmatic authority. Legacy classic 1.8→1.5; utility 1.7→1.4.","Earth Cardinal, Saturn rulership",Matches Cosmic Fit voice,No,Keep,—,0.85 dampen — serious tone appropriate
Capricorn,romantic,0.95,Dampen,Mild,"Architect — structure, ambition, pragmatic authority. Legacy classic 1.8→1.5; utility 1.7→1.4.","Earth Cardinal, Saturn rulership",Matches Cosmic Fit voice,No,Keep,—,Near-neutral; Capricorn warmth is reserved
Capricorn,utility,1.40,Boost,Strong,"Architect — structure, ambition, pragmatic authority. Legacy classic 1.8→1.5; utility 1.7→1.4.","Earth Cardinal, Saturn rulership",Matches Cosmic Fit voice,Yes: +0.05 Earth utility,Keep,—,Pragmatic ambition wardrobe-as-armor — strong utility OK
Capricorn,drama,1.00,Neutral,Neutral,"Architect — structure, ambition, pragmatic authority. Legacy classic 1.8→1.5; utility 1.7→1.4.","Earth Cardinal, Saturn rulership",Matches Cosmic Fit voice,No,Keep,—,Neutral — power via structure not theatre
Capricorn,edge,1.00,Neutral,Neutral,"Architect — structure, ambition, pragmatic authority. Legacy classic 1.8→1.5; utility 1.7→1.4.","Earth Cardinal, Saturn rulership",Matches Cosmic Fit voice,No,Keep,—,Neutral — conservative baseline
Aquarius,classic,0.85,Dampen,Strong,"Futurist dissenter — innovation, detachment, subversive cool. Legacy edge 1.9→1.5.","Air Fixed, Uranus/Saturn rulership",Matches Cosmic Fit voice,No,Keep,—,Anti-tradition dampen supports Uranian identity
Aquarius,playful,1.20,Boost,Mild,"Futurist dissenter — innovation, detachment, subversive cool. Legacy edge 1.9→1.5.","Air Fixed, Uranus/Saturn rulership",Matches Cosmic Fit voice,Yes: +0.1 Air playful,Keep,—,Quirky social experimentalism
Aquarius,romantic,0.90,Dampen,Strong,"Futurist dissenter — innovation, detachment, subversive cool. Legacy edge 1.9→1.5.","Air Fixed, Uranus/Saturn rulership",Matches Cosmic Fit voice,No,Keep,—,Detached air — romantic dampen fair
Aquarius,utility,1.00,Boost,Mild,"Futurist dissenter — innovation, detachment, subversive cool. Legacy edge 1.9→1.5.","Air Fixed, Uranus/Saturn rulership",Matches Cosmic Fit voice,No,Adjust magnitude,1.0,1.1 utility boost is weak artifact of rebuild fill-in; Aquarius not utility-primary
Aquarius,drama,1.00,Neutral,Neutral,"Futurist dissenter — innovation, detachment, subversive cool. Legacy edge 1.9→1.5.","Air Fixed, Uranus/Saturn rulership",Matches Cosmic Fit voice,No,Keep,—,Neutral — rebels quietly not theatrically
Aquarius,edge,1.50,Boost,Strong,"Futurist dissenter — innovation, detachment, subversive cool. Legacy edge 1.9→1.5.","Air Fixed, Uranus/Saturn rulership",Matches Cosmic Fit voice,Yes: +0.05 Air edge,"Keep, monitor",1.35 optional,Flagship edge sign at 1.5 — coherent with Uranus; downstream edge dominant 14/14 days — cap optional in Phase 2
Pisces,classic,0.90,Dampen,Strong,"Dreamer mystic — softness, empathy, fluid imagination. Legacy romantic 1.7→1.5.","Water Mutable, Neptune/Jupiter rulership",Matches Cosmic Fit voice,No,Keep,—,Soft dreamer — mild classic dampen OK
Pisces,playful,1.10,Boost,Mild,"Dreamer mystic — softness, empathy, fluid imagination. Legacy romantic 1.7→1.5.","Water Mutable, Neptune/Jupiter rulership",Matches Cosmic Fit voice,No,Keep,—,Whimsy present but secondary to romantic
Pisces,romantic,1.50,Boost,Strong,"Dreamer mystic — softness, empathy, fluid imagination. Legacy romantic 1.7→1.5.","Water Mutable, Neptune/Jupiter rulership",Matches Cosmic Fit voice,Yes: +0.1 Water romantic,"Keep, monitor",1.35 optional,Neptune water — primary romantic identity at 1.5; monitor for daily saturation — cap optional in Phase 2
Pisces,utility,1.00,Neutral,Neutral,"Dreamer mystic — softness, empathy, fluid imagination. Legacy romantic 1.7→1.5.","Water Mutable, Neptune/Jupiter rulership",Matches Cosmic Fit voice,No,Keep,—,Neutral — not gear-oriented
